epoch,accuracy,loss,val_accuracy,val_loss
0,0.6584852933883667,1.3490458726882935,0.7868047952651978,0.8491982817649841
1,0.8099579215049744,0.7469928860664368,0.8244274854660034,0.649419903755188
2,0.8361383676528931,0.6090081334114075,0.8446019887924194,0.5641205906867981
3,0.854371190071106,0.5429235100746155,0.8516902923583984,0.5373143553733826
4,0.8681626915931702,0.4867976903915405,0.8631407022476196,0.48801958560943604
5,0.8726040124893188,0.4597015082836151,0.8615049123764038,0.4715844392776489
6,0.8814866542816162,0.42770901322364807,0.8625954389572144,0.4419422447681427
7,0.8817204236984253,0.3976764678955078,0.8724100589752197,0.42322322726249695
8,0.8868629932403564,0.38450685143470764,0.8789530992507935,0.4021226763725281
9,0.896213173866272,0.3630605936050415,0.8751363158226013,0.39365914463996887
10,0.9015895128250122,0.3479882478713989,0.8833151459693909,0.3948346972465515
11,0.9055633544921875,0.33881160616874695,0.8887677192687988,0.37445443868637085
12,0.9118747115135193,0.31763574481010437,0.8936750292778015,0.36019793152809143
13,0.9081346392631531,0.31492653489112854,0.8947655558586121,0.35569313168525696
14,0.9137447476387024,0.3012438118457794,0.8942202925682068,0.34954091906547546
15,0.9125759601593018,0.2943500578403473,0.8909487724304199,0.3490627110004425
16,0.9174848198890686,0.28442686796188354,0.8996728658676147,0.33876463770866394
17,0.9219261407852173,0.2696547508239746,0.8964012861251831,0.33556583523750305
18,0.9223936200141907,0.25966984033584595,0.8996728658676147,0.33074942231178284
19,0.9294062852859497,0.25140127539634705,0.8947655558586121,0.331155389547348
20,0.9235624074935913,0.2537368834018707,0.8996728658676147,0.32012712955474854
21,0.9331463575363159,0.2352622151374817,0.8996728658676147,0.32250329852104187
22,0.9354838728904724,0.2333153933286667,0.9013085961341858,0.31252843141555786
23,0.9361851215362549,0.22616851329803467,0.8996728658676147,0.31068211793899536
24,0.9392239451408386,0.2179374396800995,0.9040349125862122,0.3049596846103668
25,0.936652660369873,0.2137816697359085,0.9023991227149963,0.3048466742038727
26,0.9441327452659607,0.2025952786207199,0.9067611694335938,0.3084803521633148
27,0.9434314966201782,0.2015525996685028,0.9067611694335938,0.30866384506225586
28,0.9448340535163879,0.19240310788154602,0.9067611694335938,0.29801610112190247
29,0.9438990354537964,0.19276559352874756,0.907306432723999,0.30132967233657837
30,0.9518466591835022,0.18571069836616516,0.9067611694335938,0.30552899837493896
31,0.9485741257667542,0.17928986251354218,0.9056706428527832,0.2947528660297394
32,0.9478728175163269,0.17934860289096832,0.9089422225952148,0.292527973651886
33,0.9502103924751282,0.17289771139621735,0.9034896492958069,0.31099262833595276
34,0.9511454105377197,0.17901402711868286,0.9062159061431885,0.2917795777320862
35,0.9511454105377197,0.1661394089460373,0.9094874858856201,0.2924586236476898
36,0.9539504647254944,0.15636184811592102,0.907306432723999,0.2960208058357239
37,0.9537166953086853,0.1567659229040146,0.9116684794425964,0.29345500469207764
38,0.958158016204834,0.14802226424217224,0.9083969593048096,0.2970377504825592
39,0.9602618217468262,0.14436939358711243,0.9111232161521912,0.2898498773574829
40,0.9579242467880249,0.14324025809764862,0.9116684794425964,0.29908159375190735
41,0.9630668759346008,0.1389947235584259,0.9105779528617859,0.2847151458263397
42,0.9640018939971924,0.1340375542640686,0.9100326895713806,0.28701069951057434
43,0.9590930342674255,0.13301068544387817,0.9116684794425964,0.2893676459789276
44,0.9630668759346008,0.12722596526145935,0.9160305261611938,0.28473013639450073
45,0.9633005857467651,0.1267143189907074,0.9149399995803833,0.2885124087333679
46,0.9677419066429138,0.12107113748788834,0.9105779528617859,0.2844173014163971
47,0.9647031426429749,0.12165819108486176,0.9154852628707886,0.2796863615512848
48,0.9684432148933411,0.11490613967180252,0.9149399995803833,0.28376442193984985
49,0.9679756760597229,0.11515641212463379,0.9160305261611938,0.2800569534301758
